user_id,username,registration_date
1,user1,2023-01-01 16:33:10
2,user2,2023-01-01 17:04:39
3,user3,2023-01-01 04:51:38
4,user4,2023-01-01 13:33:43
5,user5,2023-01-01 19:57:31
6,user6,2023-01-01 05:10:11
7,user7,2023-01-01 03:29:20
8,user8,2023-01-01 13:02:06
9,user9,2023-01-02 02:52:18
10,user10,2023-01-02 23:50:55
11,user11,2023-01-02 21:17:11
12,user12,2023-01-02 09:14:27
13,user13,2023-01-02 20:31:56
14,user14,2023-01-02 06:23:28
15,user15,2023-01-02 08:13:44
16,user16,2023-01-02 02:18:49
17,user17,2023-01-02 19:18:29
18,user18,2023-01-02 19:06:39
19,user19,2023-01-03 15:13:53
20,user20,2023-01-03 14:50:55
21,user21,2023-01-03 22:21:06
22,user22,2023-01-03 04:19:32
23,user23,2023-01-03 02:10:08
24,user24,2023-01-03 09:03:42
25,user25,2023-01-04 01:20:42
26,user26,2023-01-04 14:06:30
27,user27,2023-01-04 15:13:09
28,user28,2023-01-04 06:00:17
29,user29,2023-01-04 01:43:14
30,user30,2023-01-04 04:57:02
31,user31,2023-01-04 01:51:49
32,user32,2023-01-04 09:36:43
33,user33,2023-01-05 10:55:05
34,user34,2023-01-05 14:08:08
35,user35,2023-01-05 01:41:14
36,user36,2023-01-05 16:58:44
37,user37,2023-01-05 04:12:57
38,user38,2023-01-05 05:24:20
39,user39,2023-01-05 16:26:55
40,user40,2023-01-06 07:50:08
41,user41,2023-01-06 20:14:55
42,user42,2023-01-06 16:26:05
43,user43,2023-01-06 07:45:45
44,user44,2023-01-06 22:02:06
45,user45,2023-01-06 05:48:05
46,user46,2023-01-06 05:14:39
47,user47,2023-01-07 18:59:01
48,user48,2023-01-07 05:14:23
49,user49,2023-01-07 18:25:44
50,user50,2023-01-07 11:43:55
51,user51,2023-01-07 10:35:07
52,user52,2023-01-07 08:07:27
53,user53,2023-01-07 04:42:45
54,user54,2023-01-08 00:17:50
55,user55,2023-01-08 22:58:06
56,user56,2023-01-08 03:52:57
57,user57,2023-01-08 21:05:27
58,user58,2023-01-08 23:41:16
59,user59,2023-01-08 15:44:39
60,user60,2023-01-08 00:36:00
61,user61,2023-01-09 05:31:17
62,user62,2023-01-09 23:32:05
63,user63,2023-01-09 02:28:48
64,user64,2023-01-09 17:48:53
65,user65,2023-01-09 13:34:30
66,user66,2023-01-09 01:32:24
67,user67,2023-01-09 14:33:28
68,user68,2023-01-09 23:00:40
69,user69,2023-01-09 01:21:20
70,user70,2023-01-09 13:47:36
71,user71,2023-01-10 17:33:52
72,user72,2023-01-10 00:38:10
73,user73,2023-01-10 16:14:24
74,user74,2023-01-10 03:09:51
75,user75,2023-01-10 01:24:45
76,user76,2023-01-10 09:19:14
77,user77,2023-01-10 01:48:49
78,user78,2023-01-10 04:59:37
79,user79,2023-01-10 22:03:35
80,user80,2023-01-11 08:44:28
81,user81,2023-01-11 21:47:18
82,user82,2023-01-11 08:11:13
